fips,name,population,area
02502576,ZCTA 02576,4171,10.15499
02502584,ZCTA 02584,0,0.0674092
02602601,ZCTA 02601,14939,9.424628
02602630,ZCTA 02630,1892,6.027458
02602631,ZCTA 02631,9565,24.76674
02602632,ZCTA 02632,11105,8.779085
02602633,ZCTA 02633,4040,12.43406
02602635,ZCTA 02635,2826,6.623513
02602637,ZCTA 02637,184,0.7299076
02602638,ZCTA 02638,3028,6.482252
02602639,ZCTA 02639,3147,3.137083
02602641,ZCTA 02641,202,2.311635
02602642,ZCTA 02642,4873,17.33188
02602643,ZCTA 02643,0,3.691844
02602644,ZCTA 02644,3744,3.802943
02602645,ZCTA 02645,9730,18.41734
02602646,ZCTA 02646,1715,3.320417
02602647,ZCTA 02647,121,0.6580648
02602648,ZCTA 02648,6833,10.30633
02602649,ZCTA 02649,14204,27.35585
02602650,ZCTA 02650,865,1.724006
02602651,ZCTA 02651,23,0.07193895
02602652,ZCTA 02652,710,10.49973
02602653,ZCTA 02653,5865,17.31389
02602655,ZCTA 02655,3100,8.289796
02602657,ZCTA 02657,2972,14.59933
02602659,ZCTA 02659,992,2.280531
02602660,ZCTA 02660,6336,8.239206
02602663,ZCTA 02663,106,2.520803
02602664,ZCTA 02664,8565,7.81069
02602666,ZCTA 02666,366,14.56965
02602667,ZCTA 02667,3556,24.85647
02602668,ZCTA 02668,2696,17.54475
02602669,ZCTA 02669,112,1.102765
02602670,ZCTA 02670,1190,2.734987
02602671,ZCTA 02671,940,2.133933
02602672,ZCTA 02672,261,0.5398608
02602673,ZCTA 02673,8875,12.61916
02602675,ZCTA 02675,6392,9.770958
02702702,ZCTA 02702,4450,17.91541
02702703,ZCTA 02703,45023,27.77741
02702713,ZCTA 02713,37,12.13251
02702715,ZCTA 02715,3934,11.97463
02702717,ZCTA 02717,4914,18.47583
02702718,ZCTA 02718,6748,10.6786
02702719,ZCTA 02719,16072,15.72875
02702720,ZCTA 02720,30579,12.55467
02702721,ZCTA 02721,25826,6.051245
02702723,ZCTA 02723,15340,1.816951
02702724,ZCTA 02724,17506,2.427985
02702725,ZCTA 02725,2647,5.007885
02702726,ZCTA 02726,15513,6.884593
02702738,ZCTA 02738,5148,19.97962
02702739,ZCTA 02739,6374,19.56127
02702740,ZCTA 02740,43444,6.503529
02702743,ZCTA 02743,10589,18.95091
02702744,ZCTA 02744,11695,1.810197
02702745,ZCTA 02745,24836,10.55208
02702746,ZCTA 02746,15283,2.236435
02702747,ZCTA 02747,23051,50.32148
02702748,ZCTA 02748,11212,25.63393
02702760,ZCTA 02760,27615,18.46545
02702762,ZCTA 02762,9227,11.50914
02702763,ZCTA 02763,1666,0.9145598
02702764,ZCTA 02764,3911,10.65385
02702766,ZCTA 02766,19874,29.31343
02702767,ZCTA 02767,14626,24.09838
02702769,ZCTA 02769,12285,47.47776
02702770,ZCTA 02770,5461,34.57595
02702771,ZCTA 02771,15613,18.62965
02702777,ZCTA 02777,16692,25.25138
02702779,ZCTA 02779,6801,17.42552
